categoria;tipo_producto;codigo_material;consumo;desperdicio_pct
TEJIDOS;Hoodie Tejido;MP-GALLETA;0.42;0
TEJIDOS;Hoodie Tejido;MP-RIBB2X2LIVIA;0.06;0
TEJIDOS;Hoodie Tejido;IN-CORDONREDOND;1.4;0
TEJIDOS;Polo Tejida;MP-GALLETA;0.24;0
TEJIDOS;Polo Tejida;MP-CUELLOSTEJID;1;0
TEJIDOS;Polo Tejida;IN-BOTONES;3;0
TEJIDOS;Henley Tejida;MP-GALLETA;0.245;0
TEJIDOS;Henley Tejida;IN-BOTONES;3;0
DENIM;(todos);IN-CIERRENYLON;1;0
DENIM;(todos);IN-BOTONES;1;0
DENIM;Short Denim;IN-CIERRENYLON;1;0
DENIM;Short Denim;IN-BOTONES;1;0
HENLEY;(todos);MP-JERSEY241;0.215;0
HENLEY;(todos);MP-RIBB2X2LIVIA;0.02;0
HENLEY;(todos);IN-BOTONES;3;0
HENLEY;Henley ML;MP-JERSEY241;0.25;0
HENLEY;Henley ML;MP-RIBB2X2LIVIA;0.02;0
HENLEY;Henley ML;MP-PUOSTEJIDOS;1;0
HENLEY;Henley ML;IN-BOTONES;3;0
BODY;(todos);MP-JERSEYLYCRA;0.15;0
BODY;(todos);IN-ELASTICO;1.3;0
BODY;(todos);IN-BROCHE;3;0
PANTALONES PLANOS;(todos);MP-PLANA;1.35;0
PANTALONES PLANOS;(todos);IN-CIERRENYLON;1;0
PANTALONES PLANOS;(todos);IN-BOTONES;1;0
BOXER;(todos);MP-JERSEY241;0.12;0
BOXER;(todos);IN-ELASTICO;0.85;0
FALDAS;(todos);MP-PLANA;0.85;0
FALDAS;(todos);IN-CIERRENYLON;1;0
CHALECOS;(todos);MP-FLEECEPERCHA;0.36;0
CHALECOS;(todos);MP-RIBB2X2LIVIA;0.04;0
CHALECOS;(todos);IN-CIERRENYLON;1;0
CAMISAS;(todos);MP-PLANA;1.55;0
CAMISAS;(todos);IN-BOTONES;9;0
CAMISAS;Camisas MC;MP-PLANA;1.3;0
CAMISAS;Camisas MC;IN-BOTONES;8;0
SHORT PLANOS;(todos);MP-PLANA;0.9;0
SHORT PLANOS;(todos);IN-CIERRENYLON;1;0
SHORT PLANOS;(todos);IN-BOTONES;1;0
SHORT FLEECE;(todos);MP-FLEECEPERCHA;0.28;0
SHORT FLEECE;(todos);MP-RIBB2X2LIVIA;0.03;0
SHORT FLEECE;(todos);IN-ELASTICO;0.9;0
VESTIDOS;(todos);MP-JERSEYLYCRA;0.28;0
VESTIDOS;(todos);IN-ELASTICO;1.1;0
(TODAS);(todos);IN-HILOPARACOSE;0.01;0
(TODAS);(todos);IN-SATIN;1;0
(TODAS);(todos);IN-ETIQUETAS;1;0
